"","Electorate","Religious_Affiliation","Religious_Fraction"
"280","Fremantle","Anglican",0.115063464744796
"281","Hasluck","Anglican",0.146735270772701
"282","Moore","Anglican",0.18549387557216
"283","O'Connor","Anglican",0.161927547449831
"284","Pearce","Anglican",0.168653686393821
"285","Perth","Anglican",0.0934217580366539
"286","Stirling","Anglican",0.0956740904913779
"287","Swan","Anglican",0.100770823886962
"288","Tangney","Anglican",0.134300710095709
"289","Bass","Anglican",0.205000493145281
"290","Braddon","Anglican",0.18673370561932
"291","Denison","Anglican",0.169206321351623
"292","Franklin","Anglican",0.203425693659882
"293","Lyons","Anglican",0.253038353782243
"294","Solomon","Anglican",0.0815632667367683
"295","Banks","Catholic",0.241152458827003
"296","Barton","Catholic",0.205316748625976
"297","Bennelong","Catholic",0.233343987499112
"298","Berowra","Catholic",0.23652298533789
"299","Blaxland","Catholic",0.192030188852114
"300","Bradfield","Catholic",0.189273345605441
"301","Calare","Catholic",0.282074173269352
"302","Chifley","Catholic",0.307616394840262
"303","Cook","Catholic",0.284153830665459
"304","Cowper","Catholic",0.21300393545107
"305","Cunningham","Catholic",0.251905007079418
"306","Dobell","Catholic",0.252915939169322
"307","Eden-Monaro","Catholic",0.23781281349131
"308","Farrer","Catholic",0.283101597755824
"309","Fowler","Catholic",0.26676408804457
"310","Gilmore","Catholic",0.213173708420857
"311","Grayndler","Catholic",0.227023737066342
"312","Greenway","Catholic",0.267594536270999
"313","Hughes","Catholic",0.291720089542515
"314","Hume","Catholic",0.300438785738468
"315","Hunter","Catholic",0.208028266027195
"316","Kingsford Smith","Catholic",0.273085259705625
"317","Lindsay","Catholic",0.308704842428901
"318","Lyne","Catholic",0.202124003299423
"319","Macarthur","Catholic",0.296333100847442
"320","Mackellar","Catholic",0.240934507748313
"321","Macquarie","Catholic",0.23282121621335
"322","McMahon","Catholic",0.360799792387126
"323","Mitchell","Catholic",0.289535937021421
"324","New England","Catholic",0.225717324754838
"325","Newcastle","Catholic",0.221787797159819
"326","North Sydney","Catholic",0.242091056548172
"327","Page","Catholic",0.206031161419674
